date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:22:01	62/62	---M--	200	added ('OK')	text/plain	date:Thu,%2001%20Jan%202015%2008:55:11%20GMT	http://www.shafaetsplanet.com/robots.txt		(from )
21:22:04	105776/105776	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2015:21:52%20GMT	http://www.shafaetsplanet.com/planetcoding/	C:/My%20Web%20Sites/Algo/www.shafaetsplanet.com/planetcoding/index.html	(from )
21:22:05	42/42	---M-Z	405	error ('Method%20Not%20Allowed')	text/plain	date:Thu,%2001%20Sep%202016%2015:22:04%20GMT	http://www.shafaetsplanet.com/planetcoding/xmlrpc.php	C:/My%20Web%20Sites/Algo/www.shafaetsplanet.com/planetcoding/xmlrpc.php	(from http://www.shafaetsplanet.com/planetcoding/)
21:22:06	1134/1134	---M-Z	200	added ('OK')	text/css	date:Sat,%2021%20Nov%202015%2012:34:26%20GMT	http://www.shafaetsplanet.com/planetcoding/wp-content/plugins/github-badge/github-badge.css	C:/My%20Web%20Sites/Algo/www.shafaetsplanet.com/planetcoding/wp-content/plugins/github-badge/github-badge.css	(from http://www.shafaetsplanet.com/planetcoding/)
21:22:07	20172/20172	---M-Z	200	added ('OK')	text/css	date:Fri,%2013%20May%202016%2009:09:01%20GMT	http://www.shafaetsplanet.com/planetcoding/wp-content/plugins/crayon-syntax-highlighter/css/min/crayon.min.css	C:/My%20Web%20Sites/Algo/www.shafaetsplanet.com/planetcoding/wp-content/plugins/crayon-syntax-highlighter/css/min/crayon.min.css	(from http://www.shafaetsplanet.com/planetcoding/)
21:22:07	18956/18956	---M-Z	200	added ('OK')	application/rss+xml	etag:%22458370ac3aca673d005940f2470c0fba-gzip%22	http://www.shafaetsplanet.com/planetcoding/?feed=rss2	C:/My%20Web%20Sites/Algo/www.shafaetsplanet.com/planetcoding/indexd784.html	(from http://www.shafaetsplanet.com/planetcoding/)
21:22:07	4368/4368	---M-Z	200	added ('OK')	text/css	date:Fri,%2013%20May%202016%2009:09:02%20GMT	http://www.shafaetsplanet.com/planetcoding/wp-content/plugins/crayon-syntax-highlighter/themes/classic/classic.css	C:/My%20Web%20Sites/Algo/www.shafaetsplanet.com/planetcoding/wp-content/plugins/crayon-syntax-highlighter/themes/classic/classic.css	(from http://www.shafaetsplanet.com/planetcoding/)
21:22:08	11445/11445	---M-Z	200	added ('OK')	application/rss+xml	etag:%22783ab1760921e672de6e477912507253-gzip%22	http://www.shafaetsplanet.com/planetcoding/?feed=comments-rss2	C:/My%20Web%20Sites/Algo/www.shafaetsplanet.com/planetcoding/indexa6da.html	(from http://www.shafaetsplanet.com/planetcoding/)
21:22:08	529/529	---M-Z	200	added ('OK')	text/css	date:Fri,%2013%20May%202016%2009:09:02%20GMT	http://www.shafaetsplanet.com/planetcoding/wp-content/plugins/crayon-syntax-highlighter/fonts/monaco.css	C:/My%20Web%20Sites/Algo/www.shafaetsplanet.com/planetcoding/wp-content/plugins/crayon-syntax-highlighter/fonts/monaco.css	(from http://www.shafaetsplanet.com/planetcoding/)
21:22:22	26711/26711	---MCZ	200	added ('OK')	text/css	date:Wed,%2029%20Jul%202015%2011:33:54%20GMT	http://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.4.0/css/font-awesome.min.css	C:/My%20Web%20Sites/Algo/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.4.0/css/font-awesome.min.css	(from http://www.shafaetsplanet.com/planetcoding/)
21:22:23	29830/29830	---M-Z	200	added ('OK')	text/css	date:Thu,%2021%20Jul%202016%2015:11:26%20GMT	http://www.shafaetsplanet.com/planetcoding/wp-content/plugins/bbpress/templates/default/css/bbpress.css	C:/My%20Web%20Sites/Algo/www.shafaetsplanet.com/planetcoding/wp-content/plugins/bbpress/templates/default/css/bbpress.css	(from http://www.shafaetsplanet.com/planetcoding/)
21:22:24	23409/23409	---M-Z	200	added ('OK')	text/css	date:Tue,%2002%20Aug%202016%2008:03:41%20GMT	http://www.shafaetsplanet.com/planetcoding/wp-content/plugins/accesspress-social-share/css/frontend.css	C:/My%20Web%20Sites/Algo/www.shafaetsplanet.com/planetcoding/wp-content/plugins/accesspress-social-share/css/frontend.css	(from http://www.shafaetsplanet.com/planetcoding/)
